time te rho
5.010000e-09 2.390000e+01 1.755000e-03
5.020000e-09 2.404000e+01 1.738000e-03
5.030000e-09 2.419000e+01 1.721000e-03
5.040000e-09 2.433000e+01 1.704000e-03
5.050000e-09 2.448000e+01 1.687000e-03
5.060000e-09 2.462000e+01 1.671000e-03
5.070000e-09 2.476000e+01 1.655000e-03
5.080000e-09 2.490000e+01 1.639000e-03
5.090000e-09 2.504000e+01 1.623000e-03
5.100000e-09 2.518000e+01 1.608000e-03
5.110000e-09 2.532000e+01 1.592000e-03
5.120000e-09 2.546000e+01 1.577000e-03
5.130000e-09 2.560000e+01 1.562000e-03
5.140000e-09 2.573000e+01 1.547000e-03
5.150000e-09 2.587000e+01 1.533000e-03
5.160000e-09 2.600000e+01 1.518000e-03
5.170000e-09 2.613000e+01 1.504000e-03
5.180000e-09 2.626000e+01 1.490000e-03
5.190000e-09 2.640000e+01 1.476000e-03
5.200000e-09 2.652000e+01 1.463000e-03
5.210000e-09 2.665000e+01 1.449000e-03
5.220000e-09 2.678000e+01 1.436000e-03
5.230000e-09 2.691000e+01 1.423000e-03
5.240000e-09 2.703000e+01 1.409000e-03
5.250000e-09 2.716000e+01 1.396000e-03
5.260000e-09 2.728000e+01 1.384000e-03
5.270000e-09 2.740000e+01 1.371000e-03
5.280000e-09 2.753000e+01 1.358000e-03
5.290000e-09 2.765000e+01 1.346000e-03
5.300000e-09 2.777000e+01 1.334000e-03
5.310000e-09 2.788000e+01 1.322000e-03
5.320000e-09 2.800000e+01 1.310000e-03
5.330000e-09 2.812000e+01 1.298000e-03
5.340000e-09 2.823000e+01 1.286000e-03
5.350000e-09 2.834000e+01 1.274000e-03
5.360000e-09 2.845000e+01 1.263000e-03
5.370000e-09 2.856000e+01 1.251000e-03
5.380000e-09 2.867000e+01 1.240000e-03
5.390000e-09 2.878000e+01 1.229000e-03
5.400000e-09 2.889000e+01 1.218000e-03
5.410000e-09 2.899000e+01 1.207000e-03
5.420000e-09 2.910000e+01 1.196000e-03
5.430000e-09 2.920000e+01 1.186000e-03
5.440000e-09 2.930000e+01 1.175000e-03
5.450000e-09 2.940000e+01 1.165000e-03
5.460000e-09 2.950000e+01 1.154000e-03
5.470000e-09 2.959000e+01 1.144000e-03
5.480000e-09 2.969000e+01 1.134000e-03
5.490000e-09 2.978000e+01 1.124000e-03
5.500000e-09 2.988000e+01 1.114000e-03
5.510000e-09 2.997000e+01 1.105000e-03
5.520000e-09 3.006000e+01 1.095000e-03
5.530000e-09 3.015000e+01 1.086000e-03
5.540000e-09 3.024000e+01 1.076000e-03
5.550000e-09 3.033000e+01 1.067000e-03
5.560000e-09 3.041000e+01 1.058000e-03
5.570000e-09 3.050000e+01 1.049000e-03
5.580000e-09 3.058000e+01 1.040000e-03
5.590000e-09 3.066000e+01 1.031000e-03
5.600000e-09 3.075000e+01 1.023000e-03
5.610000e-09 3.083000e+01 1.014000e-03
5.620000e-09 3.091000e+01 1.006000e-03
5.630000e-09 3.098000e+01 9.971000e-04
5.640000e-09 3.106000e+01 9.889000e-04
5.650000e-09 3.114000e+01 9.807000e-04
5.660000e-09 3.121000e+01 9.726000e-04
5.670000e-09 3.129000e+01 9.646000e-04
5.680000e-09 3.136000e+01 9.568000e-04
5.690000e-09 3.143000e+01 9.490000e-04
5.700000e-09 3.150000e+01 9.413000e-04
5.710000e-09 3.157000e+01 9.337000e-04
5.720000e-09 3.164000e+01 9.262000e-04
5.730000e-09 3.171000e+01 9.188000e-04
5.740000e-09 3.177000e+01 9.114000e-04
5.750000e-09 3.184000e+01 9.042000e-04
5.760000e-09 3.190000e+01 8.970000e-04
5.770000e-09 3.197000e+01 8.899000e-04
5.780000e-09 3.203000e+01 8.829000e-04
5.790000e-09 3.209000e+01 8.760000e-04
5.800000e-09 3.215000e+01 8.691000e-04
5.810000e-09 3.221000e+01 8.623000e-04
5.820000e-09 3.226000e+01 8.556000e-04
5.830000e-09 3.232000e+01 8.489000e-04
5.840000e-09 3.238000e+01 8.423000e-04
5.850000e-09 3.243000e+01 8.358000e-04
5.860000e-09 3.248000e+01 8.294000e-04
5.870000e-09 3.254000e+01 8.230000e-04
5.880000e-09 3.259000e+01 8.167000e-04
5.890000e-09 3.264000e+01 8.104000e-04
5.900000e-09 3.269000e+01 8.042000e-04
5.910000e-09 3.274000e+01 7.981000e-04
5.920000e-09 3.278000e+01 7.920000e-04
5.930000e-09 3.283000e+01 7.860000e-04
5.940000e-09 3.287000e+01 7.800000e-04
5.950000e-09 3.292000e+01 7.741000e-04
5.960000e-09 3.296000e+01 7.683000e-04
5.970000e-09 3.300000e+01 7.625000e-04
5.980000e-09 3.304000e+01 7.568000e-04
5.990000e-09 3.308000e+01 7.511000e-04
6.000000e-09 3.312000e+01 7.455000e-04
6.010000e-09 3.316000e+01 7.400000e-04
6.020000e-09 3.320000e+01 7.345000e-04
6.030000e-09 3.323000e+01 7.291000e-04
6.040000e-09 3.327000e+01 7.237000e-04
6.050000e-09 3.330000e+01 7.184000e-04
6.060000e-09 3.334000e+01 7.131000e-04
6.070000e-09 3.337000e+01 7.079000e-04
6.080000e-09 3.340000e+01 7.027000e-04
6.090000e-09 3.343000e+01 6.976000e-04
6.100000e-09 3.346000e+01 6.926000e-04
6.110000e-09 3.349000e+01 6.876000e-04
6.120000e-09 3.352000e+01 6.827000e-04
6.130000e-09 3.355000e+01 6.778000e-04
6.140000e-09 3.357000e+01 6.729000e-04
6.150000e-09 3.360000e+01 6.682000e-04
6.160000e-09 3.362000e+01 6.634000e-04
6.170000e-09 3.365000e+01 6.588000e-04
6.180000e-09 3.367000e+01 6.541000e-04
6.190000e-09 3.369000e+01 6.495000e-04
6.200000e-09 3.371000e+01 6.450000e-04
6.210000e-09 3.373000e+01 6.405000e-04
6.220000e-09 3.375000e+01 6.361000e-04
6.230000e-09 3.377000e+01 6.317000e-04
6.240000e-09 3.379000e+01 6.273000e-04
6.250000e-09 3.381000e+01 6.230000e-04
6.260000e-09 3.382000e+01 6.187000e-04
6.270000e-09 3.384000e+01 6.145000e-04
6.280000e-09 3.385000e+01 6.103000e-04
6.290000e-09 3.387000e+01 6.061000e-04
6.300000e-09 3.388000e+01 6.020000e-04
6.310000e-09 3.389000e+01 5.980000e-04
6.320000e-09 3.391000e+01 5.939000e-04
6.330000e-09 3.392000e+01 5.899000e-04
6.340000e-09 3.393000e+01 5.860000e-04
6.350000e-09 3.394000e+01 5.820000e-04
6.360000e-09 3.395000e+01 5.781000e-04
