time te rho
2.010000e-09 8.851000e+00 1.687000e-03
2.020000e-09 9.036000e+00 1.680000e-03
2.030000e-09 9.226000e+00 1.674000e-03
2.040000e-09 9.419000e+00 1.666000e-03
2.050000e-09 9.615000e+00 1.659000e-03
2.060000e-09 9.815000e+00 1.652000e-03
2.070000e-09 1.002000e+01 1.644000e-03
2.080000e-09 1.022000e+01 1.636000e-03
2.090000e-09 1.043000e+01 1.628000e-03
2.100000e-09 1.065000e+01 1.619000e-03
2.110000e-09 1.087000e+01 1.611000e-03
2.120000e-09 1.109000e+01 1.602000e-03
2.130000e-09 1.131000e+01 1.592000e-03
2.140000e-09 1.154000e+01 1.582000e-03
2.150000e-09 1.177000e+01 1.572000e-03
2.160000e-09 1.200000e+01 1.562000e-03
2.170000e-09 1.224000e+01 1.551000e-03
2.180000e-09 1.248000e+01 1.541000e-03
2.190000e-09 1.272000e+01 1.529000e-03
2.200000e-09 1.297000e+01 1.518000e-03
2.210000e-09 1.321000e+01 1.506000e-03
2.220000e-09 1.347000e+01 1.494000e-03
2.230000e-09 1.372000e+01 1.481000e-03
2.240000e-09 1.398000e+01 1.469000e-03
2.250000e-09 1.424000e+01 1.456000e-03
2.260000e-09 1.450000e+01 1.443000e-03
2.270000e-09 1.476000e+01 1.429000e-03
2.280000e-09 1.503000e+01 1.416000e-03
2.290000e-09 1.530000e+01 1.402000e-03
2.300000e-09 1.557000e+01 1.389000e-03
2.310000e-09 1.585000e+01 1.375000e-03
2.320000e-09 1.612000e+01 1.361000e-03
2.330000e-09 1.640000e+01 1.347000e-03
2.340000e-09 1.668000e+01 1.332000e-03
2.350000e-09 1.696000e+01 1.318000e-03
2.360000e-09 1.724000e+01 1.304000e-03
2.370000e-09 1.753000e+01 1.290000e-03
2.380000e-09 1.781000e+01 1.275000e-03
2.390000e-09 1.810000e+01 1.261000e-03
2.400000e-09 1.839000e+01 1.246000e-03
2.410000e-09 1.868000e+01 1.232000e-03
2.420000e-09 1.897000e+01 1.218000e-03
2.430000e-09 1.926000e+01 1.204000e-03
2.440000e-09 1.955000e+01 1.189000e-03
2.450000e-09 1.985000e+01 1.175000e-03
2.460000e-09 2.014000e+01 1.161000e-03
2.470000e-09 2.044000e+01 1.147000e-03
2.480000e-09 2.073000e+01 1.133000e-03
2.490000e-09 2.103000e+01 1.119000e-03
2.500000e-09 2.133000e+01 1.105000e-03
2.510000e-09 2.162000e+01 1.091000e-03
2.520000e-09 2.192000e+01 1.078000e-03
2.530000e-09 2.222000e+01 1.064000e-03
2.540000e-09 2.251000e+01 1.051000e-03
2.550000e-09 2.281000e+01 1.037000e-03
2.560000e-09 2.311000e+01 1.024000e-03
2.570000e-09 2.340000e+01 1.011000e-03
2.580000e-09 2.370000e+01 9.974000e-04
2.590000e-09 2.399000e+01 9.844000e-04
2.600000e-09 2.428000e+01 9.715000e-04
2.610000e-09 2.457000e+01 9.587000e-04
2.620000e-09 2.486000e+01 9.460000e-04
2.630000e-09 2.515000e+01 9.334000e-04
2.640000e-09 2.544000e+01 9.209000e-04
2.650000e-09 2.572000e+01 9.085000e-04
2.660000e-09 2.601000e+01 8.963000e-04
2.670000e-09 2.629000e+01 8.841000e-04
2.680000e-09 2.657000e+01 8.721000e-04
2.690000e-09 2.685000e+01 8.602000e-04
2.700000e-09 2.712000e+01 8.485000e-04
2.710000e-09 2.740000e+01 8.368000e-04
2.720000e-09 2.767000e+01 8.253000e-04
2.730000e-09 2.793000e+01 8.139000e-04
2.740000e-09 2.820000e+01 8.026000e-04
2.750000e-09 2.846000e+01 7.915000e-04
2.760000e-09 2.873000e+01 7.804000e-04
2.770000e-09 2.899000e+01 7.696000e-04
2.780000e-09 2.924000e+01 7.588000e-04
2.790000e-09 2.950000e+01 7.482000e-04
2.800000e-09 2.975000e+01 7.377000e-04
2.810000e-09 3.000000e+01 7.273000e-04
2.820000e-09 3.024000e+01 7.171000e-04
2.830000e-09 3.048000e+01 7.071000e-04
2.840000e-09 3.073000e+01 6.971000e-04
2.850000e-09 3.096000e+01 6.873000e-04
2.860000e-09 3.120000e+01 6.777000e-04
2.870000e-09 3.143000e+01 6.681000e-04
2.880000e-09 3.166000e+01 6.588000e-04
2.890000e-09 3.189000e+01 6.495000e-04
2.900000e-09 3.212000e+01 6.404000e-04
2.910000e-09 3.234000e+01 6.315000e-04
2.920000e-09 3.256000e+01 6.226000e-04
2.930000e-09 3.278000e+01 6.139000e-04
2.940000e-09 3.300000e+01 6.054000e-04
2.950000e-09 3.322000e+01 5.970000e-04
2.960000e-09 3.343000e+01 5.887000e-04
2.970000e-09 3.364000e+01 5.805000e-04
2.980000e-09 3.385000e+01 5.725000e-04
2.990000e-09 3.405000e+01 5.646000e-04
3.000000e-09 3.426000e+01 5.569000e-04
3.010000e-09 3.446000e+01 5.493000e-04
3.020000e-09 3.466000e+01 5.417000e-04
3.030000e-09 3.486000e+01 5.344000e-04
3.040000e-09 3.505000e+01 5.271000e-04
3.050000e-09 3.525000e+01 5.200000e-04
3.060000e-09 3.544000e+01 5.129000e-04
3.070000e-09 3.563000e+01 5.060000e-04
3.080000e-09 3.581000e+01 4.992000e-04
3.090000e-09 3.600000e+01 4.925000e-04
3.100000e-09 3.618000e+01 4.859000e-04
3.110000e-09 3.636000e+01 4.794000e-04
3.120000e-09 3.653000e+01 4.731000e-04
3.130000e-09 3.671000e+01 4.668000e-04
3.140000e-09 3.688000e+01 4.606000e-04
3.150000e-09 3.704000e+01 4.545000e-04
3.160000e-09 3.721000e+01 4.485000e-04
3.170000e-09 3.737000e+01 4.426000e-04
3.180000e-09 3.753000e+01 4.368000e-04
3.190000e-09 3.768000e+01 4.311000e-04
3.200000e-09 3.784000e+01 4.255000e-04
3.210000e-09 3.799000e+01 4.199000e-04
3.220000e-09 3.813000e+01 4.144000e-04
3.230000e-09 3.828000e+01 4.091000e-04
3.240000e-09 3.842000e+01 4.038000e-04
3.250000e-09 3.855000e+01 3.986000e-04
3.260000e-09 3.869000e+01 3.934000e-04
3.270000e-09 3.882000e+01 3.884000e-04
3.280000e-09 3.894000e+01 3.834000e-04
3.290000e-09 3.907000e+01 3.785000e-04
3.300000e-09 3.919000e+01 3.736000e-04
3.310000e-09 3.930000e+01 3.688000e-04
3.320000e-09 3.942000e+01 3.641000e-04
3.330000e-09 3.953000e+01 3.595000e-04
3.340000e-09 3.963000e+01 3.550000e-04
3.350000e-09 3.973000e+01 3.505000e-04
3.360000e-09 3.983000e+01 3.460000e-04
3.370000e-09 3.993000e+01 3.417000e-04
3.380000e-09 4.002000e+01 3.373000e-04
3.390000e-09 4.011000e+01 3.331000e-04
3.400000e-09 4.019000e+01 3.289000e-04
3.410000e-09 4.027000e+01 3.248000e-04
3.420000e-09 4.035000e+01 3.207000e-04
3.430000e-09 4.042000e+01 3.167000e-04
3.440000e-09 4.049000e+01 3.128000e-04
3.450000e-09 4.056000e+01 3.089000e-04
3.460000e-09 4.062000e+01 3.051000e-04
3.470000e-09 4.068000e+01 3.013000e-04
3.480000e-09 4.073000e+01 2.975000e-04
3.490000e-09 4.078000e+01 2.939000e-04
3.500000e-09 4.083000e+01 2.903000e-04
3.510000e-09 4.088000e+01 2.867000e-04
3.520000e-09 4.092000e+01 2.832000e-04
3.530000e-09 4.096000e+01 2.798000e-04
3.540000e-09 4.100000e+01 2.764000e-04
3.550000e-09 4.103000e+01 2.731000e-04
3.560000e-09 4.106000e+01 2.698000e-04
3.570000e-09 4.109000e+01 2.666000e-04
3.580000e-09 4.112000e+01 2.634000e-04
3.590000e-09 4.115000e+01 2.604000e-04
3.600000e-09 4.117000e+01 2.573000e-04
3.610000e-09 4.119000e+01 2.543000e-04
3.620000e-09 4.121000e+01 2.514000e-04
3.630000e-09 4.122000e+01 2.486000e-04
3.640000e-09 4.124000e+01 2.457000e-04
3.650000e-09 4.125000e+01 2.430000e-04
3.660000e-09 4.126000e+01 2.403000e-04
3.670000e-09 4.127000e+01 2.376000e-04
3.680000e-09 4.128000e+01 2.350000e-04
3.690000e-09 4.128000e+01 2.324000e-04
3.700000e-09 4.128000e+01 2.299000e-04
3.710000e-09 4.128000e+01 2.274000e-04
3.720000e-09 4.128000e+01 2.250000e-04
3.730000e-09 4.128000e+01 2.225000e-04
3.740000e-09 4.127000e+01 2.201000e-04
3.750000e-09 4.127000e+01 2.178000e-04
3.760000e-09 4.126000e+01 2.154000e-04
3.770000e-09 4.124000e+01 2.131000e-04
3.780000e-09 4.123000e+01 2.108000e-04
3.790000e-09 4.122000e+01 2.085000e-04
3.800000e-09 4.120000e+01 2.063000e-04
3.810000e-09 4.118000e+01 2.040000e-04
3.820000e-09 4.116000e+01 2.018000e-04
3.830000e-09 4.113000e+01 1.996000e-04
3.840000e-09 4.111000e+01 1.974000e-04
3.850000e-09 4.108000e+01 1.952000e-04
3.860000e-09 4.106000e+01 1.931000e-04
3.870000e-09 4.103000e+01 1.910000e-04
3.880000e-09 4.100000e+01 1.889000e-04
3.890000e-09 4.096000e+01 1.868000e-04
3.900000e-09 4.093000e+01 1.847000e-04
3.910000e-09 4.090000e+01 1.827000e-04
3.920000e-09 4.086000e+01 1.806000e-04
3.930000e-09 4.083000e+01 1.787000e-04
3.940000e-09 4.079000e+01 1.767000e-04
3.950000e-09 4.075000e+01 1.747000e-04
3.960000e-09 4.071000e+01 1.728000e-04
3.970000e-09 4.067000e+01 1.709000e-04
3.980000e-09 4.063000e+01 1.690000e-04
3.990000e-09 4.059000e+01 1.672000e-04
4.000000e-09 4.055000e+01 1.653000e-04
4.010000e-09 4.051000e+01 1.635000e-04
4.020000e-09 4.047000e+01 1.617000e-04
4.030000e-09 4.042000e+01 1.599000e-04
4.040000e-09 4.038000e+01 1.582000e-04
4.050000e-09 4.034000e+01 1.565000e-04
4.060000e-09 4.029000e+01 1.548000e-04
4.070000e-09 4.025000e+01 1.531000e-04
4.080000e-09 4.020000e+01 1.514000e-04
4.090000e-09 4.016000e+01 1.498000e-04
4.100000e-09 4.011000e+01 1.482000e-04
4.110000e-09 4.006000e+01 1.465000e-04
4.120000e-09 4.002000e+01 1.450000e-04
4.130000e-09 3.997000e+01 1.434000e-04
4.140000e-09 3.992000e+01 1.418000e-04
4.150000e-09 3.987000e+01 1.403000e-04
4.160000e-09 3.983000e+01 1.387000e-04
4.170000e-09 3.978000e+01 1.372000e-04
4.180000e-09 3.973000e+01 1.357000e-04
4.190000e-09 3.968000e+01 1.342000e-04
4.200000e-09 3.963000e+01 1.328000e-04
4.210000e-09 3.958000e+01 1.313000e-04
4.220000e-09 3.953000e+01 1.298000e-04
4.230000e-09 3.948000e+01 1.284000e-04
4.240000e-09 3.942000e+01 1.269000e-04
4.250000e-09 3.937000e+01 1.255000e-04
4.260000e-09 3.932000e+01 1.241000e-04
4.270000e-09 3.926000e+01 1.226000e-04
4.280000e-09 3.921000e+01 1.212000e-04
4.290000e-09 3.916000e+01 1.198000e-04
4.300000e-09 3.910000e+01 1.184000e-04
4.310000e-09 3.905000e+01 1.171000e-04
4.320000e-09 3.899000e+01 1.157000e-04
4.330000e-09 3.894000e+01 1.143000e-04
4.340000e-09 3.888000e+01 1.130000e-04
4.350000e-09 3.883000e+01 1.117000e-04
4.360000e-09 3.877000e+01 1.104000e-04
4.370000e-09 3.872000e+01 1.091000e-04
4.380000e-09 3.866000e+01 1.078000e-04
4.390000e-09 3.861000e+01 1.066000e-04
4.400000e-09 3.856000e+01 1.054000e-04
4.410000e-09 3.850000e+01 1.042000e-04
4.420000e-09 3.845000e+01 1.030000e-04
4.430000e-09 3.840000e+01 1.018000e-04
4.440000e-09 3.835000e+01 1.007000e-04
4.450000e-09 3.829000e+01 9.960000e-05
4.460000e-09 3.824000e+01 9.851000e-05
4.470000e-09 3.819000e+01 9.745000e-05
4.480000e-09 3.814000e+01 9.640000e-05
4.490000e-09 3.809000e+01 9.538000e-05
4.500000e-09 3.804000e+01 9.437000e-05
4.510000e-09 3.799000e+01 9.338000e-05
4.520000e-09 3.794000e+01 9.241000e-05
4.530000e-09 3.789000e+01 9.145000e-05
4.540000e-09 3.784000e+01 9.051000e-05
4.550000e-09 3.779000e+01 8.958000e-05
4.560000e-09 3.775000e+01 8.867000e-05
4.570000e-09 3.770000e+01 8.777000e-05
4.580000e-09 3.765000e+01 8.688000e-05
4.590000e-09 3.760000e+01 8.601000e-05
4.600000e-09 3.755000e+01 8.514000e-05
4.610000e-09 3.750000e+01 8.429000e-05
4.620000e-09 3.745000e+01 8.345000e-05
4.630000e-09 3.740000e+01 8.261000e-05
4.640000e-09 3.735000e+01 8.179000e-05
4.650000e-09 3.730000e+01 8.098000e-05
4.660000e-09 3.725000e+01 8.017000e-05
4.670000e-09 3.720000e+01 7.938000e-05
4.680000e-09 3.715000e+01 7.860000e-05
4.690000e-09 3.709000e+01 7.782000e-05
4.700000e-09 3.704000e+01 7.705000e-05
4.710000e-09 3.699000e+01 7.629000e-05
4.720000e-09 3.694000e+01 7.554000e-05
4.730000e-09 3.689000e+01 7.480000e-05
4.740000e-09 3.684000e+01 7.406000e-05
4.750000e-09 3.678000e+01 7.334000e-05
4.760000e-09 3.673000e+01 7.262000e-05
4.770000e-09 3.668000e+01 7.191000e-05
4.780000e-09 3.663000e+01 7.120000e-05
4.790000e-09 3.657000e+01 7.051000e-05
4.800000e-09 3.652000e+01 6.982000e-05
4.810000e-09 3.647000e+01 6.913000e-05
4.820000e-09 3.642000e+01 6.846000e-05
4.830000e-09 3.636000e+01 6.779000e-05
4.840000e-09 3.631000e+01 6.713000e-05
4.850000e-09 3.625000e+01 6.647000e-05
4.860000e-09 3.620000e+01 6.582000e-05
4.870000e-09 3.615000e+01 6.517000e-05
4.880000e-09 3.609000e+01 6.453000e-05
4.890000e-09 3.604000e+01 6.389000e-05
4.900000e-09 3.598000e+01 6.326000e-05
4.910000e-09 3.593000e+01 6.263000e-05
4.920000e-09 3.587000e+01 6.200000e-05
4.930000e-09 3.581000e+01 6.138000e-05
4.940000e-09 3.576000e+01 6.076000e-05
4.950000e-09 3.570000e+01 6.014000e-05
4.960000e-09 3.564000e+01 5.953000e-05
4.970000e-09 3.558000e+01 5.892000e-05
4.980000e-09 3.552000e+01 5.831000e-05
4.990000e-09 3.547000e+01 5.770000e-05
5.000000e-09 3.541000e+01 5.710000e-05
5.010000e-09 3.535000e+01 5.651000e-05
5.020000e-09 3.529000e+01 5.591000e-05
5.030000e-09 3.523000e+01 5.533000e-05
5.040000e-09 3.517000e+01 5.474000e-05
5.050000e-09 3.511000e+01 5.417000e-05
5.060000e-09 3.505000e+01 5.360000e-05
5.070000e-09 3.499000e+01 5.303000e-05
5.080000e-09 3.493000e+01 5.248000e-05
5.090000e-09 3.486000e+01 5.193000e-05
5.100000e-09 3.480000e+01 5.140000e-05
5.110000e-09 3.475000e+01 5.087000e-05
5.120000e-09 3.469000e+01 5.035000e-05
5.130000e-09 3.463000e+01 4.984000e-05
5.140000e-09 3.457000e+01 4.933000e-05
5.150000e-09 3.451000e+01 4.884000e-05
5.160000e-09 3.445000e+01 4.836000e-05
5.170000e-09 3.439000e+01 4.789000e-05
5.180000e-09 3.434000e+01 4.742000e-05
5.190000e-09 3.428000e+01 4.696000e-05
5.200000e-09 3.422000e+01 4.652000e-05
5.210000e-09 3.417000e+01 4.608000e-05
5.220000e-09 3.411000e+01 4.564000e-05
5.230000e-09 3.405000e+01 4.522000e-05
5.240000e-09 3.400000e+01 4.480000e-05
5.250000e-09 3.394000e+01 4.438000e-05
5.260000e-09 3.389000e+01 4.397000e-05
5.270000e-09 3.383000e+01 4.357000e-05
5.280000e-09 3.378000e+01 4.318000e-05
5.290000e-09 3.372000e+01 4.278000e-05
5.300000e-09 3.367000e+01 4.240000e-05
5.310000e-09 3.362000e+01 4.202000e-05
5.320000e-09 3.356000e+01 4.164000e-05
5.330000e-09 3.351000e+01 4.127000e-05
5.340000e-09 3.345000e+01 4.090000e-05
5.350000e-09 3.340000e+01 4.053000e-05
5.360000e-09 3.335000e+01 4.017000e-05
5.370000e-09 3.329000e+01 3.981000e-05
5.380000e-09 3.324000e+01 3.946000e-05
5.390000e-09 3.319000e+01 3.911000e-05
5.400000e-09 3.314000e+01 3.876000e-05
5.410000e-09 3.308000e+01 3.842000e-05
5.420000e-09 3.303000e+01 3.808000e-05
5.430000e-09 3.298000e+01 3.774000e-05
5.440000e-09 3.293000e+01 3.740000e-05
5.450000e-09 3.287000e+01 3.707000e-05
5.460000e-09 3.282000e+01 3.674000e-05
5.470000e-09 3.277000e+01 3.642000e-05
5.480000e-09 3.272000e+01 3.610000e-05
5.490000e-09 3.266000e+01 3.577000e-05
5.500000e-09 3.261000e+01 3.545000e-05
5.510000e-09 3.256000e+01 3.514000e-05
5.520000e-09 3.251000e+01 3.482000e-05
5.530000e-09 3.245000e+01 3.451000e-05
5.540000e-09 3.240000e+01 3.420000e-05
5.550000e-09 3.235000e+01 3.389000e-05
5.560000e-09 3.230000e+01 3.358000e-05
5.570000e-09 3.224000e+01 3.327000e-05
5.580000e-09 3.219000e+01 3.296000e-05
5.590000e-09 3.214000e+01 3.266000e-05
5.600000e-09 3.208000e+01 3.235000e-05
5.610000e-09 3.203000e+01 3.205000e-05
5.620000e-09 3.198000e+01 3.175000e-05
5.630000e-09 3.192000e+01 3.145000e-05
5.640000e-09 3.187000e+01 3.115000e-05
5.650000e-09 3.182000e+01 3.086000e-05
5.660000e-09 3.176000e+01 3.056000e-05
5.670000e-09 3.171000e+01 3.027000e-05
5.680000e-09 3.165000e+01 2.998000e-05
5.690000e-09 3.160000e+01 2.970000e-05
5.700000e-09 3.155000e+01 2.942000e-05
5.710000e-09 3.149000e+01 2.914000e-05
5.720000e-09 3.144000e+01 2.887000e-05
5.730000e-09 3.139000e+01 2.860000e-05
5.740000e-09 3.134000e+01 2.833000e-05
5.750000e-09 3.129000e+01 2.807000e-05
5.760000e-09 3.123000e+01 2.782000e-05
5.770000e-09 3.118000e+01 2.756000e-05
5.780000e-09 3.113000e+01 2.732000e-05
5.790000e-09 3.108000e+01 2.707000e-05
5.800000e-09 3.103000e+01 2.683000e-05
5.810000e-09 3.098000e+01 2.660000e-05
5.820000e-09 3.093000e+01 2.637000e-05
