time te rho
2.010000e-09 9.020000e+00 4.631000e-03
2.020000e-09 9.208000e+00 4.504000e-03
2.030000e-09 9.397000e+00 4.382000e-03
2.040000e-09 9.586000e+00 4.265000e-03
2.050000e-09 9.775000e+00 4.154000e-03
2.060000e-09 9.963000e+00 4.048000e-03
2.070000e-09 1.015000e+01 3.948000e-03
2.080000e-09 1.034000e+01 3.852000e-03
2.090000e-09 1.053000e+01 3.762000e-03
2.100000e-09 1.072000e+01 3.676000e-03
2.110000e-09 1.091000e+01 3.594000e-03
2.120000e-09 1.110000e+01 3.517000e-03
2.130000e-09 1.129000e+01 3.444000e-03
2.140000e-09 1.148000e+01 3.375000e-03
2.150000e-09 1.167000e+01 3.309000e-03
2.160000e-09 1.186000e+01 3.247000e-03
2.170000e-09 1.206000e+01 3.188000e-03
2.180000e-09 1.225000e+01 3.132000e-03
2.190000e-09 1.244000e+01 3.078000e-03
2.200000e-09 1.264000e+01 3.027000e-03
2.210000e-09 1.283000e+01 2.978000e-03
2.220000e-09 1.303000e+01 2.931000e-03
2.230000e-09 1.323000e+01 2.885000e-03
2.240000e-09 1.343000e+01 2.842000e-03
2.250000e-09 1.363000e+01 2.800000e-03
2.260000e-09 1.383000e+01 2.760000e-03
2.270000e-09 1.403000e+01 2.721000e-03
2.280000e-09 1.423000e+01 2.683000e-03
2.290000e-09 1.443000e+01 2.646000e-03
2.300000e-09 1.464000e+01 2.610000e-03
2.310000e-09 1.484000e+01 2.575000e-03
2.320000e-09 1.505000e+01 2.542000e-03
2.330000e-09 1.525000e+01 2.509000e-03
2.340000e-09 1.546000e+01 2.476000e-03
2.350000e-09 1.567000e+01 2.445000e-03
2.360000e-09 1.587000e+01 2.414000e-03
2.370000e-09 1.608000e+01 2.384000e-03
2.380000e-09 1.629000e+01 2.355000e-03
2.390000e-09 1.650000e+01 2.326000e-03
2.400000e-09 1.671000e+01 2.298000e-03
2.410000e-09 1.692000e+01 2.271000e-03
2.420000e-09 1.713000e+01 2.244000e-03
2.430000e-09 1.734000e+01 2.217000e-03
2.440000e-09 1.755000e+01 2.191000e-03
2.450000e-09 1.776000e+01 2.166000e-03
2.460000e-09 1.797000e+01 2.141000e-03
2.470000e-09 1.818000e+01 2.116000e-03
2.480000e-09 1.839000e+01 2.092000e-03
2.490000e-09 1.860000e+01 2.068000e-03
2.500000e-09 1.881000e+01 2.045000e-03
2.510000e-09 1.903000e+01 2.022000e-03
2.520000e-09 1.924000e+01 1.999000e-03
2.530000e-09 1.945000e+01 1.977000e-03
2.540000e-09 1.966000e+01 1.955000e-03
2.550000e-09 1.987000e+01 1.934000e-03
2.560000e-09 2.009000e+01 1.913000e-03
2.570000e-09 2.030000e+01 1.892000e-03
2.580000e-09 2.051000e+01 1.871000e-03
2.590000e-09 2.072000e+01 1.851000e-03
2.600000e-09 2.093000e+01 1.831000e-03
2.610000e-09 2.114000e+01 1.812000e-03
2.620000e-09 2.136000e+01 1.793000e-03
2.630000e-09 2.157000e+01 1.774000e-03
2.640000e-09 2.178000e+01 1.755000e-03
2.650000e-09 2.199000e+01 1.737000e-03
2.660000e-09 2.220000e+01 1.718000e-03
2.670000e-09 2.241000e+01 1.701000e-03
2.680000e-09 2.262000e+01 1.683000e-03
2.690000e-09 2.283000e+01 1.666000e-03
2.700000e-09 2.304000e+01 1.648000e-03
2.710000e-09 2.325000e+01 1.632000e-03
2.720000e-09 2.346000e+01 1.615000e-03
2.730000e-09 2.367000e+01 1.599000e-03
2.740000e-09 2.388000e+01 1.583000e-03
2.750000e-09 2.409000e+01 1.567000e-03
2.760000e-09 2.430000e+01 1.551000e-03
2.770000e-09 2.451000e+01 1.536000e-03
2.780000e-09 2.471000e+01 1.520000e-03
2.790000e-09 2.492000e+01 1.505000e-03
2.800000e-09 2.513000e+01 1.490000e-03
2.810000e-09 2.534000e+01 1.476000e-03
2.820000e-09 2.554000e+01 1.461000e-03
2.830000e-09 2.575000e+01 1.447000e-03
2.840000e-09 2.596000e+01 1.433000e-03
2.850000e-09 2.616000e+01 1.419000e-03
2.860000e-09 2.637000e+01 1.406000e-03
2.870000e-09 2.658000e+01 1.392000e-03
2.880000e-09 2.678000e+01 1.379000e-03
2.890000e-09 2.699000e+01 1.365000e-03
2.900000e-09 2.719000e+01 1.352000e-03
2.910000e-09 2.740000e+01 1.340000e-03
2.920000e-09 2.760000e+01 1.327000e-03
2.930000e-09 2.781000e+01 1.314000e-03
2.940000e-09 2.801000e+01 1.302000e-03
2.950000e-09 2.822000e+01 1.289000e-03
2.960000e-09 2.842000e+01 1.277000e-03
2.970000e-09 2.862000e+01 1.265000e-03
2.980000e-09 2.883000e+01 1.253000e-03
2.990000e-09 2.903000e+01 1.241000e-03
3.000000e-09 2.923000e+01 1.230000e-03
3.010000e-09 2.944000e+01 1.218000e-03
3.020000e-09 2.964000e+01 1.207000e-03
3.030000e-09 2.984000e+01 1.195000e-03
3.040000e-09 3.004000e+01 1.184000e-03
3.050000e-09 3.024000e+01 1.173000e-03
3.060000e-09 3.044000e+01 1.162000e-03
3.070000e-09 3.064000e+01 1.151000e-03
3.080000e-09 3.084000e+01 1.140000e-03
3.090000e-09 3.104000e+01 1.130000e-03
3.100000e-09 3.124000e+01 1.119000e-03
3.110000e-09 3.143000e+01 1.109000e-03
3.120000e-09 3.163000e+01 1.098000e-03
3.130000e-09 3.183000e+01 1.088000e-03
3.140000e-09 3.203000e+01 1.078000e-03
3.150000e-09 3.222000e+01 1.068000e-03
3.160000e-09 3.242000e+01 1.058000e-03
3.170000e-09 3.261000e+01 1.048000e-03
3.180000e-09 3.281000e+01 1.039000e-03
3.190000e-09 3.300000e+01 1.029000e-03
3.200000e-09 3.320000e+01 1.020000e-03
3.210000e-09 3.339000e+01 1.010000e-03
3.220000e-09 3.359000e+01 1.001000e-03
3.230000e-09 3.378000e+01 9.917000e-04
3.240000e-09 3.397000e+01 9.826000e-04
3.250000e-09 3.417000e+01 9.737000e-04
3.260000e-09 3.436000e+01 9.648000e-04
3.270000e-09 3.455000e+01 9.560000e-04
3.280000e-09 3.474000e+01 9.474000e-04
3.290000e-09 3.493000e+01 9.388000e-04
3.300000e-09 3.513000e+01 9.304000e-04
3.310000e-09 3.532000e+01 9.220000e-04
3.320000e-09 3.551000e+01 9.137000e-04
3.330000e-09 3.570000e+01 9.056000e-04
3.340000e-09 3.589000e+01 8.975000e-04
3.350000e-09 3.608000e+01 8.896000e-04
3.360000e-09 3.627000e+01 8.817000e-04
3.370000e-09 3.646000e+01 8.740000e-04
3.380000e-09 3.664000e+01 8.664000e-04
3.390000e-09 3.683000e+01 8.588000e-04
3.400000e-09 3.702000e+01 8.514000e-04
3.410000e-09 3.720000e+01 8.441000e-04
3.420000e-09 3.739000e+01 8.369000e-04
3.430000e-09 3.757000e+01 8.298000e-04
3.440000e-09 3.775000e+01 8.229000e-04
3.450000e-09 3.793000e+01 8.160000e-04
3.460000e-09 3.811000e+01 8.092000e-04
3.470000e-09 3.829000e+01 8.026000e-04
3.480000e-09 3.847000e+01 7.961000e-04
3.490000e-09 3.864000e+01 7.897000e-04
3.500000e-09 3.881000e+01 7.834000e-04
3.510000e-09 3.898000e+01 7.772000e-04
3.520000e-09 3.915000e+01 7.710000e-04
3.530000e-09 3.932000e+01 7.650000e-04
3.540000e-09 3.948000e+01 7.591000e-04
3.550000e-09 3.965000e+01 7.532000e-04
3.560000e-09 3.981000e+01 7.474000e-04
3.570000e-09 3.997000e+01 7.417000e-04
3.580000e-09 4.013000e+01 7.360000e-04
3.590000e-09 4.028000e+01 7.304000e-04
3.600000e-09 4.044000e+01 7.248000e-04
3.610000e-09 4.059000e+01 7.193000e-04
3.620000e-09 4.074000e+01 7.137000e-04
3.630000e-09 4.089000e+01 7.082000e-04
3.640000e-09 4.104000e+01 7.027000e-04
3.650000e-09 4.118000e+01 6.972000e-04
3.660000e-09 4.132000e+01 6.917000e-04
3.670000e-09 4.146000e+01 6.862000e-04
3.680000e-09 4.160000e+01 6.807000e-04
3.690000e-09 4.174000e+01 6.752000e-04
3.700000e-09 4.187000e+01 6.697000e-04
3.710000e-09 4.200000e+01 6.642000e-04
3.720000e-09 4.213000e+01 6.587000e-04
3.730000e-09 4.226000e+01 6.532000e-04
3.740000e-09 4.238000e+01 6.478000e-04
3.750000e-09 4.250000e+01 6.423000e-04
3.760000e-09 4.262000e+01 6.369000e-04
3.770000e-09 4.273000e+01 6.315000e-04
3.780000e-09 4.285000e+01 6.262000e-04
3.790000e-09 4.296000e+01 6.208000e-04
3.800000e-09 4.306000e+01 6.155000e-04
3.810000e-09 4.316000e+01 6.103000e-04
3.820000e-09 4.326000e+01 6.051000e-04
3.830000e-09 4.336000e+01 5.999000e-04
3.840000e-09 4.345000e+01 5.948000e-04
3.850000e-09 4.354000e+01 5.897000e-04
3.860000e-09 4.363000e+01 5.847000e-04
3.870000e-09 4.372000e+01 5.797000e-04
3.880000e-09 4.380000e+01 5.747000e-04
3.890000e-09 4.387000e+01 5.699000e-04
3.900000e-09 4.395000e+01 5.650000e-04
3.910000e-09 4.402000e+01 5.602000e-04
3.920000e-09 4.409000e+01 5.555000e-04
3.930000e-09 4.415000e+01 5.508000e-04
3.940000e-09 4.422000e+01 5.462000e-04
3.950000e-09 4.428000e+01 5.417000e-04
3.960000e-09 4.433000e+01 5.371000e-04
3.970000e-09 4.439000e+01 5.327000e-04
3.980000e-09 4.444000e+01 5.283000e-04
3.990000e-09 4.449000e+01 5.239000e-04
4.000000e-09 4.453000e+01 5.196000e-04
4.010000e-09 4.458000e+01 5.154000e-04
4.020000e-09 4.462000e+01 5.112000e-04
4.030000e-09 4.466000e+01 5.070000e-04
4.040000e-09 4.469000e+01 5.029000e-04
4.050000e-09 4.473000e+01 4.989000e-04
4.060000e-09 4.476000e+01 4.949000e-04
4.070000e-09 4.479000e+01 4.909000e-04
4.080000e-09 4.481000e+01 4.870000e-04
4.090000e-09 4.484000e+01 4.832000e-04
4.100000e-09 4.486000e+01 4.794000e-04
4.110000e-09 4.489000e+01 4.756000e-04
4.120000e-09 4.491000e+01 4.719000e-04
4.130000e-09 4.492000e+01 4.682000e-04
4.140000e-09 4.494000e+01 4.646000e-04
4.150000e-09 4.496000e+01 4.610000e-04
4.160000e-09 4.497000e+01 4.575000e-04
4.170000e-09 4.498000e+01 4.540000e-04
4.180000e-09 4.499000e+01 4.505000e-04
4.190000e-09 4.500000e+01 4.471000e-04
4.200000e-09 4.500000e+01 4.437000e-04
4.210000e-09 4.501000e+01 4.404000e-04
4.220000e-09 4.501000e+01 4.371000e-04
4.230000e-09 4.501000e+01 4.338000e-04
4.240000e-09 4.501000e+01 4.306000e-04
4.250000e-09 4.501000e+01 4.274000e-04
4.260000e-09 4.501000e+01 4.242000e-04
4.270000e-09 4.500000e+01 4.211000e-04
4.280000e-09 4.500000e+01 4.180000e-04
4.290000e-09 4.499000e+01 4.149000e-04
4.300000e-09 4.498000e+01 4.119000e-04
4.310000e-09 4.497000e+01 4.089000e-04
4.320000e-09 4.496000e+01 4.060000e-04
4.330000e-09 4.495000e+01 4.030000e-04
4.340000e-09 4.493000e+01 4.001000e-04
4.350000e-09 4.492000e+01 3.973000e-04
4.360000e-09 4.490000e+01 3.945000e-04
4.370000e-09 4.489000e+01 3.917000e-04
4.380000e-09 4.487000e+01 3.889000e-04
4.390000e-09 4.485000e+01 3.862000e-04
4.400000e-09 4.483000e+01 3.834000e-04
4.410000e-09 4.481000e+01 3.808000e-04
4.420000e-09 4.479000e+01 3.781000e-04
4.430000e-09 4.476000e+01 3.755000e-04
4.440000e-09 4.474000e+01 3.729000e-04
4.450000e-09 4.472000e+01 3.704000e-04
4.460000e-09 4.469000e+01 3.678000e-04
4.470000e-09 4.466000e+01 3.653000e-04
4.480000e-09 4.464000e+01 3.628000e-04
4.490000e-09 4.461000e+01 3.604000e-04
4.500000e-09 4.458000e+01 3.580000e-04
4.510000e-09 4.456000e+01 3.556000e-04
4.520000e-09 4.453000e+01 3.532000e-04
