time te rho
3.010000e-09 3.192000e+01 5.834000e-04
3.020000e-09 3.212000e+01 5.755000e-04
3.030000e-09 3.231000e+01 5.678000e-04
3.040000e-09 3.250000e+01 5.603000e-04
3.050000e-09 3.269000e+01 5.528000e-04
3.060000e-09 3.288000e+01 5.455000e-04
3.070000e-09 3.306000e+01 5.383000e-04
3.080000e-09 3.325000e+01 5.312000e-04
3.090000e-09 3.343000e+01 5.242000e-04
3.100000e-09 3.361000e+01 5.173000e-04
3.110000e-09 3.379000e+01 5.105000e-04
3.120000e-09 3.397000e+01 5.039000e-04
3.130000e-09 3.414000e+01 4.973000e-04
3.140000e-09 3.431000e+01 4.908000e-04
3.150000e-09 3.448000e+01 4.845000e-04
3.160000e-09 3.465000e+01 4.782000e-04
3.170000e-09 3.482000e+01 4.720000e-04
3.180000e-09 3.498000e+01 4.659000e-04
3.190000e-09 3.514000e+01 4.600000e-04
3.200000e-09 3.530000e+01 4.541000e-04
3.210000e-09 3.546000e+01 4.483000e-04
3.220000e-09 3.562000e+01 4.425000e-04
3.230000e-09 3.577000e+01 4.369000e-04
3.240000e-09 3.592000e+01 4.313000e-04
3.250000e-09 3.607000e+01 4.259000e-04
3.260000e-09 3.621000e+01 4.205000e-04
3.270000e-09 3.635000e+01 4.151000e-04
3.280000e-09 3.649000e+01 4.099000e-04
3.290000e-09 3.663000e+01 4.047000e-04
3.300000e-09 3.677000e+01 3.996000e-04
3.310000e-09 3.690000e+01 3.946000e-04
3.320000e-09 3.703000e+01 3.896000e-04
3.330000e-09 3.715000e+01 3.848000e-04
3.340000e-09 3.728000e+01 3.799000e-04
3.350000e-09 3.740000e+01 3.752000e-04
3.360000e-09 3.751000e+01 3.705000e-04
3.370000e-09 3.763000e+01 3.659000e-04
3.380000e-09 3.774000e+01 3.613000e-04
3.390000e-09 3.785000e+01 3.568000e-04
3.400000e-09 3.795000e+01 3.523000e-04
3.410000e-09 3.806000e+01 3.479000e-04
3.420000e-09 3.815000e+01 3.436000e-04
3.430000e-09 3.825000e+01 3.394000e-04
