time te rho
5.010000e-09 4.572000e+00 3.030000e-03
5.020000e-09 4.580000e+00 3.016000e-03
5.030000e-09 4.589000e+00 3.002000e-03
5.040000e-09 4.597000e+00 2.988000e-03
5.050000e-09 4.605000e+00 2.975000e-03
5.060000e-09 4.614000e+00 2.962000e-03
5.070000e-09 4.623000e+00 2.948000e-03
5.080000e-09 4.631000e+00 2.935000e-03
5.090000e-09 4.640000e+00 2.923000e-03
5.100000e-09 4.649000e+00 2.910000e-03
5.110000e-09 4.658000e+00 2.898000e-03
5.120000e-09 4.667000e+00 2.886000e-03
5.130000e-09 4.676000e+00 2.874000e-03
5.140000e-09 4.685000e+00 2.862000e-03
5.150000e-09 4.695000e+00 2.851000e-03
5.160000e-09 4.704000e+00 2.839000e-03
5.170000e-09 4.713000e+00 2.828000e-03
5.180000e-09 4.723000e+00 2.817000e-03
5.190000e-09 4.733000e+00 2.806000e-03
5.200000e-09 4.742000e+00 2.795000e-03
5.210000e-09 4.752000e+00 2.785000e-03
5.220000e-09 4.762000e+00 2.774000e-03
5.230000e-09 4.771000e+00 2.764000e-03
5.240000e-09 4.781000e+00 2.754000e-03
5.250000e-09 4.791000e+00 2.744000e-03
5.260000e-09 4.801000e+00 2.735000e-03
5.270000e-09 4.811000e+00 2.725000e-03
5.280000e-09 4.821000e+00 2.716000e-03
5.290000e-09 4.831000e+00 2.707000e-03
5.300000e-09 4.841000e+00 2.698000e-03
5.310000e-09 4.851000e+00 2.689000e-03
5.320000e-09 4.861000e+00 2.681000e-03
5.330000e-09 4.871000e+00 2.672000e-03
5.340000e-09 4.881000e+00 2.664000e-03
5.350000e-09 4.891000e+00 2.656000e-03
5.360000e-09 4.901000e+00 2.648000e-03
5.370000e-09 4.910000e+00 2.640000e-03
5.380000e-09 4.920000e+00 2.633000e-03
5.390000e-09 4.930000e+00 2.625000e-03
5.400000e-09 4.940000e+00 2.618000e-03
5.410000e-09 4.950000e+00 2.611000e-03
5.420000e-09 4.960000e+00 2.604000e-03
5.430000e-09 4.970000e+00 2.597000e-03
5.440000e-09 4.980000e+00 2.591000e-03
5.450000e-09 4.990000e+00 2.584000e-03
5.460000e-09 4.999000e+00 2.578000e-03
5.470000e-09 5.009000e+00 2.572000e-03
5.480000e-09 5.019000e+00 2.566000e-03
5.490000e-09 5.029000e+00 2.560000e-03
5.500000e-09 5.038000e+00 2.555000e-03
5.510000e-09 5.048000e+00 2.549000e-03
5.520000e-09 5.058000e+00 2.544000e-03
5.530000e-09 5.067000e+00 2.538000e-03
5.540000e-09 5.077000e+00 2.533000e-03
5.550000e-09 5.086000e+00 2.528000e-03
5.560000e-09 5.096000e+00 2.523000e-03
5.570000e-09 5.106000e+00 2.518000e-03
5.580000e-09 5.115000e+00 2.514000e-03
5.590000e-09 5.125000e+00 2.509000e-03
5.600000e-09 5.134000e+00 2.504000e-03
5.610000e-09 5.143000e+00 2.500000e-03
5.620000e-09 5.153000e+00 2.496000e-03
5.630000e-09 5.162000e+00 2.491000e-03
5.640000e-09 5.172000e+00 2.487000e-03
5.650000e-09 5.181000e+00 2.483000e-03
5.660000e-09 5.190000e+00 2.479000e-03
5.670000e-09 5.200000e+00 2.475000e-03
5.680000e-09 5.209000e+00 2.471000e-03
5.690000e-09 5.218000e+00 2.467000e-03
5.700000e-09 5.228000e+00 2.462000e-03
5.710000e-09 5.237000e+00 2.458000e-03
5.720000e-09 5.246000e+00 2.454000e-03
5.730000e-09 5.256000e+00 2.450000e-03
5.740000e-09 5.265000e+00 2.446000e-03
5.750000e-09 5.274000e+00 2.442000e-03
5.760000e-09 5.283000e+00 2.438000e-03
5.770000e-09 5.292000e+00 2.434000e-03
5.780000e-09 5.302000e+00 2.430000e-03
5.790000e-09 5.311000e+00 2.426000e-03
5.800000e-09 5.320000e+00 2.422000e-03
5.810000e-09 5.329000e+00 2.418000e-03
5.820000e-09 5.338000e+00 2.413000e-03
5.830000e-09 5.347000e+00 2.409000e-03
5.840000e-09 5.356000e+00 2.405000e-03
5.850000e-09 5.365000e+00 2.400000e-03
5.860000e-09 5.374000e+00 2.396000e-03
5.870000e-09 5.383000e+00 2.391000e-03
5.880000e-09 5.392000e+00 2.387000e-03
5.890000e-09 5.401000e+00 2.382000e-03
5.900000e-09 5.410000e+00 2.378000e-03
5.910000e-09 5.419000e+00 2.373000e-03
5.920000e-09 5.428000e+00 2.368000e-03
5.930000e-09 5.437000e+00 2.363000e-03
5.940000e-09 5.446000e+00 2.358000e-03
5.950000e-09 5.455000e+00 2.353000e-03
5.960000e-09 5.463000e+00 2.348000e-03
5.970000e-09 5.472000e+00 2.343000e-03
5.980000e-09 5.481000e+00 2.338000e-03
5.990000e-09 5.490000e+00 2.333000e-03
6.000000e-09 5.498000e+00 2.328000e-03
6.010000e-09 5.507000e+00 2.323000e-03
6.020000e-09 5.516000e+00 2.317000e-03
6.030000e-09 5.524000e+00 2.312000e-03
6.040000e-09 5.533000e+00 2.307000e-03
6.050000e-09 5.542000e+00 2.301000e-03
6.060000e-09 5.550000e+00 2.296000e-03
6.070000e-09 5.559000e+00 2.290000e-03
6.080000e-09 5.567000e+00 2.285000e-03
6.090000e-09 5.576000e+00 2.279000e-03
6.100000e-09 5.584000e+00 2.274000e-03
6.110000e-09 5.593000e+00 2.268000e-03
6.120000e-09 5.601000e+00 2.263000e-03
6.130000e-09 5.610000e+00 2.257000e-03
6.140000e-09 5.619000e+00 2.251000e-03
6.150000e-09 5.627000e+00 2.246000e-03
6.160000e-09 5.636000e+00 2.240000e-03
6.170000e-09 5.644000e+00 2.235000e-03
6.180000e-09 5.653000e+00 2.229000e-03
6.190000e-09 5.661000e+00 2.224000e-03
6.200000e-09 5.669000e+00 2.218000e-03
6.210000e-09 5.678000e+00 2.213000e-03
6.220000e-09 5.686000e+00 2.207000e-03
6.230000e-09 5.695000e+00 2.202000e-03
6.240000e-09 5.703000e+00 2.196000e-03
6.250000e-09 5.711000e+00 2.191000e-03
6.260000e-09 5.719000e+00 2.185000e-03
6.270000e-09 5.727000e+00 2.180000e-03
6.280000e-09 5.736000e+00 2.175000e-03
6.290000e-09 5.744000e+00 2.169000e-03
6.300000e-09 5.752000e+00 2.164000e-03
6.310000e-09 5.760000e+00 2.159000e-03
6.320000e-09 5.768000e+00 2.154000e-03
6.330000e-09 5.776000e+00 2.149000e-03
6.340000e-09 5.784000e+00 2.143000e-03
6.350000e-09 5.791000e+00 2.138000e-03
6.360000e-09 5.799000e+00 2.133000e-03
6.370000e-09 5.807000e+00 2.128000e-03
6.380000e-09 5.815000e+00 2.124000e-03
6.390000e-09 5.823000e+00 2.119000e-03
6.400000e-09 5.830000e+00 2.114000e-03
6.410000e-09 5.838000e+00 2.109000e-03
6.420000e-09 5.846000e+00 2.104000e-03
6.430000e-09 5.854000e+00 2.100000e-03
6.440000e-09 5.861000e+00 2.095000e-03
6.450000e-09 5.869000e+00 2.091000e-03
6.460000e-09 5.876000e+00 2.086000e-03
6.470000e-09 5.884000e+00 2.082000e-03
6.480000e-09 5.892000e+00 2.078000e-03
6.490000e-09 5.899000e+00 2.073000e-03
6.500000e-09 5.907000e+00 2.069000e-03
6.510000e-09 5.914000e+00 2.065000e-03
6.520000e-09 5.922000e+00 2.061000e-03
6.530000e-09 5.929000e+00 2.057000e-03
6.540000e-09 5.937000e+00 2.053000e-03
6.550000e-09 5.944000e+00 2.049000e-03
6.560000e-09 5.952000e+00 2.045000e-03
6.570000e-09 5.959000e+00 2.041000e-03
6.580000e-09 5.966000e+00 2.038000e-03
6.590000e-09 5.974000e+00 2.034000e-03
6.600000e-09 5.981000e+00 2.030000e-03
6.610000e-09 5.989000e+00 2.027000e-03
6.620000e-09 5.996000e+00 2.023000e-03
6.630000e-09 6.003000e+00 2.020000e-03
6.640000e-09 6.011000e+00 2.016000e-03
6.650000e-09 6.018000e+00 2.013000e-03
6.660000e-09 6.025000e+00 2.009000e-03
6.670000e-09 6.032000e+00 2.006000e-03
6.680000e-09 6.040000e+00 2.002000e-03
6.690000e-09 6.047000e+00 1.999000e-03
6.700000e-09 6.054000e+00 1.996000e-03
6.710000e-09 6.061000e+00 1.992000e-03
6.720000e-09 6.068000e+00 1.989000e-03
6.730000e-09 6.076000e+00 1.985000e-03
6.740000e-09 6.083000e+00 1.982000e-03
6.750000e-09 6.090000e+00 1.979000e-03
6.760000e-09 6.097000e+00 1.975000e-03
6.770000e-09 6.104000e+00 1.972000e-03
6.780000e-09 6.111000e+00 1.968000e-03
6.790000e-09 6.118000e+00 1.965000e-03
6.800000e-09 6.125000e+00 1.961000e-03
6.810000e-09 6.132000e+00 1.958000e-03
6.820000e-09 6.139000e+00 1.954000e-03
6.830000e-09 6.146000e+00 1.950000e-03
6.840000e-09 6.152000e+00 1.947000e-03
6.850000e-09 6.159000e+00 1.943000e-03
6.860000e-09 6.166000e+00 1.939000e-03
6.870000e-09 6.173000e+00 1.935000e-03
6.880000e-09 6.180000e+00 1.932000e-03
6.890000e-09 6.186000e+00 1.928000e-03
6.900000e-09 6.193000e+00 1.924000e-03
6.910000e-09 6.200000e+00 1.920000e-03
6.920000e-09 6.206000e+00 1.916000e-03
6.930000e-09 6.213000e+00 1.911000e-03
6.940000e-09 6.220000e+00 1.907000e-03
6.950000e-09 6.226000e+00 1.903000e-03
6.960000e-09 6.233000e+00 1.899000e-03
6.970000e-09 6.239000e+00 1.895000e-03
6.980000e-09 6.246000e+00 1.890000e-03
6.990000e-09 6.252000e+00 1.886000e-03
7.000000e-09 6.259000e+00 1.881000e-03
7.010000e-09 6.265000e+00 1.877000e-03
7.020000e-09 6.271000e+00 1.872000e-03
7.030000e-09 6.278000e+00 1.867000e-03
7.040000e-09 6.284000e+00 1.863000e-03
7.050000e-09 6.290000e+00 1.858000e-03
7.060000e-09 6.297000e+00 1.853000e-03
7.070000e-09 6.303000e+00 1.848000e-03
7.080000e-09 6.309000e+00 1.843000e-03
7.090000e-09 6.315000e+00 1.838000e-03
7.100000e-09 6.321000e+00 1.833000e-03
7.110000e-09 6.327000e+00 1.828000e-03
7.120000e-09 6.333000e+00 1.823000e-03
7.130000e-09 6.339000e+00 1.818000e-03
7.140000e-09 6.345000e+00 1.812000e-03
7.150000e-09 6.351000e+00 1.807000e-03
7.160000e-09 6.357000e+00 1.802000e-03
7.170000e-09 6.363000e+00 1.796000e-03
7.180000e-09 6.369000e+00 1.791000e-03
7.190000e-09 6.375000e+00 1.785000e-03
7.200000e-09 6.381000e+00 1.780000e-03
7.210000e-09 6.386000e+00 1.774000e-03
7.220000e-09 6.392000e+00 1.768000e-03
7.230000e-09 6.398000e+00 1.763000e-03
7.240000e-09 6.403000e+00 1.757000e-03
7.250000e-09 6.409000e+00 1.751000e-03
7.260000e-09 6.415000e+00 1.745000e-03
7.270000e-09 6.420000e+00 1.739000e-03
7.280000e-09 6.426000e+00 1.733000e-03
7.290000e-09 6.431000e+00 1.727000e-03
7.300000e-09 6.436000e+00 1.722000e-03
7.310000e-09 6.442000e+00 1.715000e-03
7.320000e-09 6.447000e+00 1.709000e-03
7.330000e-09 6.453000e+00 1.703000e-03
7.340000e-09 6.458000e+00 1.697000e-03
7.350000e-09 6.463000e+00 1.691000e-03
7.360000e-09 6.468000e+00 1.685000e-03
7.370000e-09 6.473000e+00 1.679000e-03
7.380000e-09 6.479000e+00 1.672000e-03
7.390000e-09 6.484000e+00 1.666000e-03
7.400000e-09 6.489000e+00 1.660000e-03
7.410000e-09 6.494000e+00 1.653000e-03
7.420000e-09 6.499000e+00 1.647000e-03
7.430000e-09 6.504000e+00 1.641000e-03
7.440000e-09 6.509000e+00 1.634000e-03
7.450000e-09 6.514000e+00 1.628000e-03
7.460000e-09 6.518000e+00 1.622000e-03
7.470000e-09 6.523000e+00 1.615000e-03
7.480000e-09 6.528000e+00 1.609000e-03
7.490000e-09 6.533000e+00 1.602000e-03
7.500000e-09 6.537000e+00 1.596000e-03
7.510000e-09 6.542000e+00 1.589000e-03
7.520000e-09 6.547000e+00 1.583000e-03
7.530000e-09 6.551000e+00 1.576000e-03
7.540000e-09 6.556000e+00 1.570000e-03
7.550000e-09 6.560000e+00 1.564000e-03
7.560000e-09 6.565000e+00 1.557000e-03
7.570000e-09 6.569000e+00 1.551000e-03
7.580000e-09 6.574000e+00 1.544000e-03
7.590000e-09 6.578000e+00 1.538000e-03
7.600000e-09 6.583000e+00 1.531000e-03
7.610000e-09 6.587000e+00 1.525000e-03
7.620000e-09 6.591000e+00 1.518000e-03
7.630000e-09 6.595000e+00 1.512000e-03
7.640000e-09 6.600000e+00 1.506000e-03
7.650000e-09 6.604000e+00 1.499000e-03
7.660000e-09 6.608000e+00 1.493000e-03
7.670000e-09 6.612000e+00 1.486000e-03
7.680000e-09 6.616000e+00 1.480000e-03
7.690000e-09 6.620000e+00 1.474000e-03
7.700000e-09 6.624000e+00 1.468000e-03
7.710000e-09 6.628000e+00 1.461000e-03
7.720000e-09 6.632000e+00 1.455000e-03
7.730000e-09 6.636000e+00 1.449000e-03
7.740000e-09 6.640000e+00 1.443000e-03
7.750000e-09 6.644000e+00 1.436000e-03
7.760000e-09 6.648000e+00 1.430000e-03
7.770000e-09 6.652000e+00 1.424000e-03
7.780000e-09 6.655000e+00 1.418000e-03
7.790000e-09 6.659000e+00 1.412000e-03
7.800000e-09 6.663000e+00 1.406000e-03
7.810000e-09 6.666000e+00 1.400000e-03
7.820000e-09 6.670000e+00 1.394000e-03
7.830000e-09 6.673000e+00 1.388000e-03
7.840000e-09 6.677000e+00 1.382000e-03
7.850000e-09 6.681000e+00 1.376000e-03
7.860000e-09 6.684000e+00 1.371000e-03
7.870000e-09 6.687000e+00 1.365000e-03
7.880000e-09 6.691000e+00 1.359000e-03
7.890000e-09 6.694000e+00 1.353000e-03
7.900000e-09 6.698000e+00 1.348000e-03
7.910000e-09 6.701000e+00 1.342000e-03
7.920000e-09 6.704000e+00 1.336000e-03
7.930000e-09 6.707000e+00 1.331000e-03
7.940000e-09 6.711000e+00 1.325000e-03
7.950000e-09 6.714000e+00 1.320000e-03
7.960000e-09 6.717000e+00 1.314000e-03
7.970000e-09 6.720000e+00 1.309000e-03
7.980000e-09 6.723000e+00 1.303000e-03
7.990000e-09 6.727000e+00 1.297000e-03
8.000000e-09 6.730000e+00 1.292000e-03
8.010000e-09 6.733000e+00 1.286000e-03
8.020000e-09 6.736000e+00 1.281000e-03
8.030000e-09 6.739000e+00 1.276000e-03
8.040000e-09 6.742000e+00 1.270000e-03
8.050000e-09 6.745000e+00 1.265000e-03
8.060000e-09 6.748000e+00 1.259000e-03
8.070000e-09 6.751000e+00 1.254000e-03
8.080000e-09 6.754000e+00 1.248000e-03
8.090000e-09 6.757000e+00 1.243000e-03
8.100000e-09 6.760000e+00 1.238000e-03
8.110000e-09 6.763000e+00 1.232000e-03
8.120000e-09 6.766000e+00 1.227000e-03
8.130000e-09 6.768000e+00 1.222000e-03
8.140000e-09 6.771000e+00 1.216000e-03
8.150000e-09 6.774000e+00 1.211000e-03
8.160000e-09 6.777000e+00 1.206000e-03
8.170000e-09 6.780000e+00 1.200000e-03
8.180000e-09 6.782000e+00 1.195000e-03
8.190000e-09 6.785000e+00 1.190000e-03
8.200000e-09 6.788000e+00 1.185000e-03
8.210000e-09 6.791000e+00 1.180000e-03
8.220000e-09 6.793000e+00 1.175000e-03
8.230000e-09 6.796000e+00 1.169000e-03
8.240000e-09 6.799000e+00 1.164000e-03
8.250000e-09 6.801000e+00 1.159000e-03
8.260000e-09 6.804000e+00 1.154000e-03
8.270000e-09 6.807000e+00 1.149000e-03
8.280000e-09 6.809000e+00 1.144000e-03
8.290000e-09 6.812000e+00 1.139000e-03
8.300000e-09 6.814000e+00 1.134000e-03
8.310000e-09 6.817000e+00 1.130000e-03
8.320000e-09 6.819000e+00 1.125000e-03
8.330000e-09 6.822000e+00 1.120000e-03
8.340000e-09 6.824000e+00 1.115000e-03
8.350000e-09 6.827000e+00 1.110000e-03
8.360000e-09 6.829000e+00 1.105000e-03
8.370000e-09 6.832000e+00 1.101000e-03
8.380000e-09 6.834000e+00 1.096000e-03
8.390000e-09 6.836000e+00 1.091000e-03
8.400000e-09 6.839000e+00 1.086000e-03
8.410000e-09 6.841000e+00 1.082000e-03
8.420000e-09 6.843000e+00 1.077000e-03
8.430000e-09 6.846000e+00 1.072000e-03
8.440000e-09 6.848000e+00 1.068000e-03
8.450000e-09 6.850000e+00 1.063000e-03
8.460000e-09 6.853000e+00 1.059000e-03
8.470000e-09 6.855000e+00 1.054000e-03
8.480000e-09 6.857000e+00 1.049000e-03
8.490000e-09 6.859000e+00 1.045000e-03
8.500000e-09 6.862000e+00 1.040000e-03
8.510000e-09 6.864000e+00 1.036000e-03
8.520000e-09 6.866000e+00 1.031000e-03
8.530000e-09 6.868000e+00 1.027000e-03
8.540000e-09 6.870000e+00 1.023000e-03
8.550000e-09 6.873000e+00 1.018000e-03
8.560000e-09 6.875000e+00 1.014000e-03
8.570000e-09 6.877000e+00 1.009000e-03
8.580000e-09 6.879000e+00 1.005000e-03
8.590000e-09 6.881000e+00 1.001000e-03
8.600000e-09 6.883000e+00 9.966000e-04
8.610000e-09 6.885000e+00 9.924000e-04
8.620000e-09 6.887000e+00 9.882000e-04
8.630000e-09 6.889000e+00 9.841000e-04
8.640000e-09 6.891000e+00 9.800000e-04
8.650000e-09 6.893000e+00 9.759000e-04
8.660000e-09 6.895000e+00 9.718000e-04
8.670000e-09 6.897000e+00 9.677000e-04
8.680000e-09 6.899000e+00 9.637000e-04
8.690000e-09 6.901000e+00 9.597000e-04
8.700000e-09 6.903000e+00 9.557000e-04
8.710000e-09 6.905000e+00 9.518000e-04
8.720000e-09 6.907000e+00 9.479000e-04
8.730000e-09 6.909000e+00 9.440000e-04
8.740000e-09 6.910000e+00 9.401000e-04
8.750000e-09 6.912000e+00 9.362000e-04
8.760000e-09 6.914000e+00 9.324000e-04
8.770000e-09 6.916000e+00 9.286000e-04
8.780000e-09 6.918000e+00 9.248000e-04
8.790000e-09 6.919000e+00 9.210000e-04
8.800000e-09 6.921000e+00 9.172000e-04
8.810000e-09 6.923000e+00 9.135000e-04
8.820000e-09 6.925000e+00 9.098000e-04
8.830000e-09 6.926000e+00 9.061000e-04
8.840000e-09 6.928000e+00 9.024000e-04
8.850000e-09 6.930000e+00 8.988000e-04
8.860000e-09 6.932000e+00 8.952000e-04
8.870000e-09 6.933000e+00 8.916000e-04
8.880000e-09 6.935000e+00 8.880000e-04
8.890000e-09 6.936000e+00 8.844000e-04
8.900000e-09 6.938000e+00 8.809000e-04
8.910000e-09 6.940000e+00 8.774000e-04
8.920000e-09 6.941000e+00 8.739000e-04
8.930000e-09 6.943000e+00 8.704000e-04
8.940000e-09 6.944000e+00 8.670000e-04
8.950000e-09 6.946000e+00 8.636000e-04
8.960000e-09 6.947000e+00 8.602000e-04
8.970000e-09 6.949000e+00 8.568000e-04
8.980000e-09 6.950000e+00 8.534000e-04
8.990000e-09 6.952000e+00 8.501000e-04
9.000000e-09 6.953000e+00 8.467000e-04
